Price,Open,High,Low,Close,Volume
Ticker,9984.T,9984.T,9984.T,9984.T,9984.T
Date,,,,,
2020-08-11,6339.569058520673,6352.1475685574205,6083.160969310054,6154.76171875,18400100
2020-08-12,6125.735012557156,6233.136147669119,5889.646030869595,5991.24169921875,27137300
2020-08-13,6130.5722063288185,6238.9409069457415,6099.609720438269,6214.75146484375,18655800
2020-08-14,6215.719594110615,6215.719594110615,6037.685284441195,6120.89697265625,16614900
2020-08-17,6024.138384245481,6051.230558154712,5936.088819040479,6034.78173828125,13131400
2020-08-18,6057.036891169882,6123.7997578616905,5976.727935584084,5993.1767578125,11173200
2020-08-19,5950.6030277253985,6195.4001929310125,5932.219050891776,6189.5947265625,17108100
2020-08-20,6191.530128106423,6191.530128106423,6035.750107693056,6062.84228515625,12530800
2020-08-21,6089.934067286857,6151.859040325681,6038.652448989081,6056.06884765625,9760700
2020-08-24,6084.128605289919,6105.415314786798,6018.3333213904725,6065.74462890625,8092100
2020-08-25,6172.178337313386,6276.676732113487,6108.318207157768,6213.7841796875,15612200
2020-08-26,6289.25494458302,6443.099796304358,6279.5791677452,6424.7158203125,16441300
2020-08-27,6483.737653670623,6532.116534835156,6387.94746896485,6403.4287109375,12200400
2020-08-28,6386.013005363842,6395.688782644696,6115.091241499922,6189.5947265625,19036500
2020-08-31,6336.66632962581,6492.44633864547,6306.671421056807,6384.07763671875,17905300
2020-09-01,6318.283004187279,6404.39742798095,6296.996292687721,6307.6396484375,11447000
2020-09-02,6424.715991110773,6452.775744686408,6324.087909322291,6367.62890625,11202000
2020-09-03,6448.90551765274,6454.710983985211,6329.893457837094,6331.82861328125,9652900
2020-09-04,6138.31200601417,6235.069761468366,6080.2573527416525,6128.63623046875,14175600
2020-09-07,5976.728231839026,5979.630965317336,5636.140837050724,5690.3251953125,30995200
2020-09-08,5653.556055689959,5718.383756482571,5440.68897846049,5655.4912109375,34178800
2020-09-09,5365.217746172192,5504.548919382074,5255.881478306103,5492.93798828125,38629400
2020-09-10,5500.6792476259425,5650.653791756466,5469.71676109577,5611.95068359375,25329600
2020-09-11,5539.382380462751,5689.356925261305,5482.295295668462,5670.00537109375,19490700
2020-09-14,6192.497552858262,6283.449860665867,6098.6425118227535,6177.98388671875,35465700
2020-09-15,6081.22554592694,6224.427038496103,6035.749396259706,6199.27001953125,20172700
2020-09-16,6201.205215636187,6554.371061120227,6189.594283729863,6486.640625,31271000
2020-09-17,6473.09508917608,6568.885285562991,6402.4619140625,6402.4619140625,19306200
2020-09-18,6359.888073404078,6385.0450930158995,6280.5467038591005,6332.7958984375,22004900
