Date,Open,High,Low,Close,Volume
2020-08-19,626146.2471782416,651904.7838507773,624211.8116178536,651293.9094632864,17108100
2020-08-20,656791.3391975405,656791.3391975405,640266.3500412968,643140.2611989044,12530800
2020-08-21,643492.8887953669,650036.1911282083,638074.2165509827,639914.5203320943,9760700
2020-08-24,644169.2776580574,646423.0505760722,637203.0704569205,642222.837410681,8092100
2020-08-25,654207.6751502258,665283.7731148322,647438.9486162995,658617.6030435413,15612200
2020-08-26,669208.164701043,685578.0259606532,668178.613678426,683621.8790176809,16441300
2020-08-27,686342.5512708108,691463.7462511929,676202.5852096542,677841.3676033765,12200400
2020-08-28,680985.2754790962,682017.0713510342,652094.9910648315,660039.8192787543,19036500
2020-08-31,668740.104302625,685180.3481249983,665574.5915169506,673743.6567703038,17905300
2020-09-01,669763.2576929223,678891.7308835303,667506.7811738957,668635.019433409,11447000
2020-09-02,680351.7485148126,683323.1642839286,669695.6367910866,674306.4543638527,11202000
2020-09-03,684925.3583996921,685541.9453689941,672285.3255290001,672490.8545187674,9652900
2020-09-04,651188.9584783512,661453.6015817301,645030.1726163239,650162.4941680133,14175600
2020-09-07,635391.9371803022,635700.5296704335,599183.7516715655,604944.1448206827,30995200
2020-09-08,601001.2782254495,607892.7869779919,578372.4435156089,601206.9949046299,34178800
2020-09-09,568541.4065701172,583306.0526559778,556955.260683296,582075.665482156,38629400
2020-09-10,584342.6725983532,600274.6188169539,581053.4966048356,596163.1488250569,25329600
2020-09-11,587966.6514998662,603885.3992697315,581907.2571874658,601831.3672994263,19490700
2020-09-14,657302.6319603372,666956.7643672546,647340.3889446883,655762.0789166801,35465700
2020-09-15,642876.7363175533,658015.2815800828,638069.2253220204,655355.8074123412,20172700
2020-09-16,653489.1863904145,690706.1551893693,652265.6148134625,683568.6543238163,31271000
2020-09-17,680076.2933440079,690140.2026177085,672655.4309502691,672655.4309502691,19306200
2020-09-18,665867.5490876037,668501.4386777875,657560.6665339473,663031.0526058674,22004900
2020-09-23,653979.662364053,656520.3758930508,645442.8649066201,647881.949894458,16134100
2020-09-24,632633.7916480723,633754.5794896134,618572.9987269201,620203.2355873436,18115700
2020-09-25,626381.5788958445,633420.7204176383,619954.5366368156,628829.9759469032,12869300
2020-09-28,635890.3058666886,647739.8280322365,629863.3937307633,647739.8280322365,12644000
2020-09-29,653938.1660240013,668986.5239459687,651378.921479449,658954.2853313237,15984700
2020-09-30,665014.7850950994,668810.7658184129,656191.6947652353,663681.0621382594,14518200
2020-10-02,670196.9358092287,684953.5655885143,665073.1060247544,668454.8336825073,21689800
2020-10-05,678080.4688337732,691500.7047330365,676851.134247581,691500.7047330365,14338400
2020-10-06,702234.3487876592,710239.9435268345,694639.2973684415,709521.4927169085,19114100
2020-10-07,702609.7637093666,713584.835930812,700558.348340872,713379.6943939626,16077400
2020-10-08,719278.2970802402,732344.8603371693,713413.7765633508,728949.6116168648,20443700
2020-10-09,728490.8101240535,729726.0637232463,718608.7813305097,720255.7861294337,16809800
2020-10-12,716812.8900025103,737838.307437124,714864.1927768631,736607.5512946099,19359000
2020-10-13,746121.776073158,746633.1686544282,719017.9692658398,721881.7677209526,20907300
2020-10-14,722779.567849401,742441.4659830204,719092.9619493475,733736.979830116,15926300
2020-10-15,731638.441093134,733986.3808371192,710098.646050487,716223.7062521875,15339400
2020-10-16,722741.7681193646,724787.7462315214,715785.4425380317,718445.2140838355,12232200
2020-10-19,725453.3829696866,747256.9064030919,724429.7433718741,741524.5246553421,17742400
2020-10-20,734248.9285986791,737525.9112646704,729231.04889138,731176.7573493123,13156600
2020-10-21,735833.8942226054,736755.606824972,723544.3928577185,726002.2931306958,11730700
2020-10-22,716321.9623100315,726180.5364224141,710020.6056608796,720387.353696581,11985900
2020-10-23,722073.3748825428,726861.3896426274,717387.2327769281,721462.1389557235,9330100
2020-10-26,719114.1419416397,720130.5576899671,700107.1674479172,700107.1674479172,11327700
2020-10-27,692451.8715244068,705785.8705203935,689194.7114643184,703444.7867272049,11340000
2020-10-28,701011.4599049167,716034.5841542548,697560.2016314202,710857.6967440099,12797600
2020-10-29,698861.492007639,705444.9698308994,695620.3952331108,699570.481927067,11047900
2020-10-30,699447.443302297,702289.9002562105,689600.3602833822,689600.3602833822,14443100
2020-11-02,685913.3411755585,695356.7076787897,678399.264603095,679922.3882326484,14611900
2020-11-04,669956.4489924524,677874.1161169086,656455.8114597256,663358.3930554055,21179800
2020-11-05,677173.8916861031,696643.4015998095,675855.6436190291,696643.4015998095,15803100
