Date,Open,High,Low,Close,Volume
2020-08-19,129887.52529253835,131458.59357162932,129047.18852001583,131440.32974399626,16316500
2020-08-20,131937.4324522106,132342.59144054932,130335.1750069552,130464.09433991648,14443500
2020-08-21,131239.05858981737,131752.71213954038,129899.8756108295,129918.22717852425,14287000
2020-08-24,130730.35094311662,130803.8708418671,129866.41079306602,129866.41079306602,13343500
2020-08-25,131388.81835759184,132732.14716731594,131149.59726515843,131554.43900781125,20393000
2020-08-26,131511.5980295206,132564.56847705005,131049.76492964898,131585.48456036672,13868500
2020-08-27,130116.3179400049,130263.33978466316,129362.8239754765,129987.66961953603,12679500
2020-08-28,132224.15610960472,132983.2093197066,129187.92066958384,130631.9794569863,28873000
2020-08-31,130216.45884375274,130601.22228790962,128365.90167419985,128365.90167419985,22006500
2020-09-01,128641.91106946071,128825.94813822965,127464.06933624725,128439.47478690743,19728000
2020-09-02,128179.92522927001,128786.62657917565,127885.7591781154,128179.92522927001,14908500
2020-09-03,129792.98568125562,129792.98568125562,128612.8773585921,128907.89881208446,16797000
2020-09-04,128004.68788545326,130417.4336209712,127783.67034873417,129772.80569636822,20013500
2020-09-07,129365.13130461801,129937.29385954326,128110.04615853945,128571.47120775655,20615500
2020-09-08,129284.01735488864,129542.40533582358,128379.6706862419,129468.57697994914,21390500
2020-09-09,127089.6353784352,127567.97601535544,125801.81334113132,126684.88906378485,35819500
2020-09-10,128253.44838575348,128271.88700122759,127441.94668274374,128271.88700122759,21490000
2020-09-11,126322.82724313615,128184.03434904758,126304.40390444774,128184.03434904758,23824500
2020-09-14,128702.45438784889,129918.71015405207,128610.31345866162,129863.4278460741,16699500
2020-09-15,129943.0063512142,131319.52124900246,129227.21412352152,129686.05242278427,18899000
2020-09-16,128892.12590617334,129294.63016505736,128105.4196350501,129239.74575855397,15153000
2020-09-17,128100.66941376902,129176.8435418281,127772.34868868894,128064.18685922399,16123000
2020-09-18,128602.0651717959,128911.0758864835,127802.2740389976,127929.51505026221,28528000
2020-09-23,128832.40900804196,129470.64457991478,127446.53050395331,129124.16938892007,28209500
2020-09-24,128304.32065378664,128743.09738128015,126658.92466351949,126658.92466351949,24755500
2020-09-25,128280.87275235259,129324.2553912704,127951.38643807224,128701.88366351277,25681000
2020-09-28,129164.83840559886,131584.27563298494,128248.38575788944,131584.27563298494,37334000
2020-09-29,131779.79240212138,132912.1398999769,131204.32801514113,132039.66967652366,29231000
2020-09-30,130412.78419196041,131696.45237288822,128905.87924467222,128961.68843626231,27261500
2020-10-02,128591.00271529466,130133.34917891107,127513.21912275952,128052.1052480936,24475000
2020-10-05,129628.23778848037,129721.12130815374,127919.1787588265,128346.45201998018,20136000
2020-10-06,128586.10544494979,129981.95977518376,128176.65256951617,129498.05679167435,23551000
2020-10-07,128857.97629999908,130252.94575623237,128411.5928853787,130252.94575623237,21226000
2020-10-08,130784.2788968814,132052.94009518527,130317.8585013861,131232.04703144357,24101500
2020-10-09,131148.3400281116,131204.34758163185,129673.72129849606,130047.04422643594,16979500
2020-10-12,128922.6160598233,129164.39018585334,128327.47189091261,128532.04737799242,13191000
2020-10-13,129399.61729408143,130382.58473004866,128824.66596063049,130382.58473004866,18338500
2020-10-14,129281.97981252738,129430.53483103849,128483.48667076137,128780.59670778364,15327000
2020-10-15,127691.52326719258,128339.42170057051,127635.99137545061,128006.21905166656,14224000
2020-10-16,128739.05839501177,128813.26411028761,126605.77428616071,126679.98000143655,18851000
2020-10-19,127595.80698446337,128969.3948015308,127521.5540951515,128913.71079924703,15235000
2020-10-20,128613.48339013274,128966.31152618938,127926.41491574293,128074.969955232,11712000
2020-10-21,129290.57017712099,130961.95068730698,129179.13800891057,130163.40448828414,23975000
2020-10-22,128400.87033847564,128714.1802898812,127921.68710435629,128382.43372445367,16037500
2020-10-23,129477.26849654356,129495.73698753037,128276.52343175194,128812.23369564395,19816500
2020-10-26,128464.73941512732,129072.963334635,128188.2729744922,128833.36133597419,13375000
2020-10-27,128647.60378212853,129072.12016418531,127798.57101801498,128481.48328827694,16171500
2020-10-28,126786.04688538106,127503.91663999563,125994.55666530611,126914.8967432119,18801000
2020-10-29,124799.05519482885,127168.31326527066,124523.56059174975,126598.9510262981,20499500
2020-10-30,126060.6248723443,126612.87645143071,125232.24750371464,125232.24750371464,26039000
2020-11-02,126423.40678284697,129185.35139276976,126128.80385314109,127951.69179104269,28606000
2020-11-04,129290.60848385606,129842.81778335762,128407.064616872,128407.064616872,31390500
2020-11-05,127888.27528076034,129304.15059463242,127299.85825411101,128421.53066621907,28217000
2020-11-06,128963.49205247276,130459.251895601,127960.23999265862,128033.20823218301,55464500
2020-11-09,130145.78993211608,131654.67166267187,129418.61694430324,130400.29382038303,39193000
2020-11-10,135500.76952080778,136241.21088430946,133501.58009900097,134519.68697381578,44128500
2020-11-11,136956.57122735414,139050.7628146829,136567.38928430795,139050.7628146829,50376500
2020-11-12,138772.9562203437,139329.7555541195,136972.63610884632,137993.4348874353,29082000
2020-11-13,137419.9779444334,137882.54686757125,134792.58420237296,135366.1651497893,28673000
2020-11-16,136381.0135099862,137763.2535117766,135662.24420957602,137744.82814456522,27563500
2020-11-17,137990.5094337405,138008.9110367948,136260.3318474183,136922.9580702223,23499500
2020-11-18,135754.41058174465,136194.64015945126,133718.37397473393,134250.31711483747,22772000
2020-11-19,134593.87508984312,135307.27466519264,132124.4304800885,133551.21846612543,32636500
2020-11-20,133224.87815200246,134394.80472584255,132585.0769975814,134394.80472584255,20376000
2020-11-24,137601.3304604824,138319.051660059,136441.9260361887,136754.77281851973,27571500
