Date,Open,High,Low,Close,Volume
2020-08-19,30433.30455822988,30504.614612950667,30214.49439074082,30266.266545765102,2498300
2020-08-20,30341.83079841756,30653.019338213504,30332.968204582317,30608.706369037267,2409300
2020-08-21,30455.901197671905,30614.811302940958,30425.492621654215,30598.13418372511,2316200
2020-08-24,30898.356882815733,30977.974320622485,30801.051013756052,30971.09331989428,2349600
2020-08-25,31063.08546468455,31119.17272145788,30945.99228069167,31113.269115781877,2890800
2020-08-26,31288.531917282544,31573.0184988068,31239.14196950467,31553.26131388638,2606000
2020-08-27,31468.099611803995,31593.885411992476,31296.126674102634,31453.35967408074,2295900
2020-08-28,31791.346707872384,31904.199759789004,31673.542079136296,31891.329889593173,3538700
2020-08-31,31545.10337350132,31628.377386820393,31429.49385630297,31451.047869013622,5068000
2020-09-01,31668.566463361924,31893.92082884685,31582.952286050855,31886.04653486237,3008000
2020-09-02,32042.314797149957,32409.00248606669,31928.277850998067,32317.574322272558,5273100
2020-09-03,32242.214636094817,32291.513149402104,31039.32970781998,31290.750922110165,6892000
2020-09-04,31295.18792433289,31475.414914644858,30224.669776962062,31004.662593003355,5133900
2020-09-08,30528.843636414495,30651.214631174542,30183.43891483936,30215.019497903297,4278300
2020-09-09,30510.768692312577,30954.437457319804,30426.16829038879,30713.419378283434,3339800
2020-09-10,30971.103812824393,31036.192310613187,30159.47639877333,30251.1907780962,3589000
2020-09-11,30403.491688298836,30505.970678421207,29971.90355192945,30248.79138468532,3690100
2020-09-14,30554.83858999939,30817.93789614743,30508.52534161972,30642.539361101575,3056100
2020-09-15,30763.743511721896,30841.27444021076,30572.370572849824,30675.418691848405,2570900
2020-09-16,30699.813158459023,30833.838825113588,30428.82706549736,30455.239902370144,2313400
2020-09-17,29891.95800370613,30261.60646353141,29841.238865648138,30097.751501671504,2848300
2020-09-18,30076.10417560165,30079.992816874572,29406.427350682847,29644.556945398443,3420800
2020-09-21,29159.34054808594,29283.55900635139,28806.0925489426,29277.736497495323,4536800
2020-09-22,29458.598488980093,29665.609018671363,29221.46293851293,29617.015109013766,2741500
2020-09-23,29766.989138318295,29793.315003326057,28976.20740732644,29025.934041230008,2755800
2020-09-24,28966.62311540956,29470.075356222413,28842.471742108468,29180.713007295504,3130700
2020-09-25,29126.960801121902,29759.264098596013,29042.78592124161,29684.87477253005,2683800
2020-09-28,30129.765423946916,30286.576584517865,30032.73500394077,30221.890634840813,2437900
2020-09-29,30160.785891620035,30226.644748938474,29945.519969557376,30009.411010414828,2303900
2020-09-30,30148.059348110386,30612.041500613643,30129.342171532604,30306.659310773015,4304500
2020-10-01,30492.33164969061,30585.725886194083,30256.384367691735,30437.277383898618,3005700
2020-10-02,29983.649113225503,30363.46155054436,29933.465489585575,30180.44386902172,3125100
2020-10-05,30364.794242570868,30718.914699147696,30364.794242570868,30698.255546160275,2364500
2020-10-06,30772.32203218422,30976.32181437746,30272.671437832287,30325.889426125214,3389800
2020-10-07,30591.307738771182,30906.470041368495,30590.324904147692,30826.69512829045,1707800
2020-10-08,31115.15555499844,31203.080831172163,31025.255547790097,31195.17587732058,1731700
2020-10-09,31378.808574365215,31539.918635146983,31317.528113142227,31488.5197840326,2794100
2020-10-12,31625.985026888673,32027.78358315279,31578.71337099436,31880.063039537985,2194300
2020-10-13,31783.77960520611,31792.6178935491,31496.030231825822,31588.345239469316,2229700
2020-10-14,31683.671422978758,31789.86576090707,31360.16714229725,31429.98311523348,1902100
2020-10-15,30946.124298753293,31337.22905149,30899.076262109113,31294.099690329283,2481700
2020-10-16,31496.41619414605,31649.649730096724,31324.519330310304,31333.35938073322,1669600
2020-10-19,31482.040098130827,31540.0333851454,30796.9640248341,30879.529620073736,2229600
2020-10-20,31020.94467843695,31334.615547629455,30952.11293255024,31014.06090369355,3066600
2020-10-21,31016.106685579143,31223.593861030877,30935.470579065,30960.054538297,2607700
2020-10-22,30746.419344138994,30951.357034687713,30544.409207247427,30893.77982730861,2362400
2020-10-23,31090.310787443155,31090.310787443155,30835.984715397724,31071.725225456757,1429300
2020-10-26,30675.27987956527,30750.427436696897,30094.584734150794,30430.313913929276,3335800
2020-10-27,30510.763567991653,30539.10741562573,30352.434113313433,30372.957528610714,2196100
2020-10-28,29740.09570081159,29799.549122111563,29203.05176832443,29246.91309264349,5650500
2020-10-29,29206.882246257763,29783.589070907427,29048.36013813283,29489.887481415644,5365200
2020-10-30,29394.66375118319,29521.38050527633,28888.76649071079,29225.05760884378,5892100
2020-11-02,29578.45592645028,29767.605406075563,29311.30794975252,29572.606187942438,4080400
2020-11-03,29931.89152008138,30339.02683379584,29885.025758826316,30135.947827510536,3378300
2020-11-04,30525.966045464942,31155.60772711026,30409.97902851926,30761.836652988095,5750200
2020-11-05,31249.03354892783,31503.160548344422,31208.13801208472,31331.796274183318,3950300
2020-11-06,31047.472578840996,31190.424918827932,30853.328344746118,31077.414840621874,3640600
2020-11-09,32186.30180068835,32267.16481981539,31312.24030719399,31358.447327024303,8097300
2020-11-10,31833.597807872768,31983.566608668032,31567.96742033071,31889.469300068915,4120800
2020-11-11,32130.8914775449,32236.874404450897,32008.224527756272,32151.498686565785,2773500
2020-11-12,32111.370495112773,32180.166332790795,31717.277536918762,31901.05701854569,2532700
2020-11-13,31983.96573138037,32305.323870860135,31929.099926344465,32234.78169439081,1996100
2020-11-16,32365.415551131424,32508.8716079513,32244.406053306982,32497.161395669216,3018800
2020-11-17,32234.016150357034,32406.525002161874,32089.769494621945,32293.46729485737,3052100
2020-11-18,32210.433671907696,32259.969707507054,31788.90014924787,31791.813859336078,2647800
2020-11-19,31649.982509234287,31875.66506540709,31519.220885147308,31836.921646845527,2962200
2020-11-20,31788.67242754752,31812.871349682257,31594.11214831387,31602.823405805975,3516800
2020-11-23,31773.643858073166,31901.405045979016,31558.773843410676,31787.195629703812,2222600
2020-11-24,32257.332698784157,32572.091754021792,32167.68193509907,32522.392173224827,2659700
