Price,Open,High,Low,Close,Volume
Ticker,VT,VT,VT,VT,VT
Date,,,,,
2020-08-11,73.66658317087865,73.73884238762248,72.70917266758656,72.85369110107422,1119400
2020-08-12,73.6665686631131,74.09108286410728,73.63947318492485,73.94657135009766,756400
2020-08-13,73.79302060392982,74.04592781883323,73.5310930477739,73.74786376953125,618300
2020-08-14,73.50397693653208,73.72075450878042,73.40462227200553,73.61236572265625,645900
2020-08-17,73.94657931286308,74.10012496647528,73.90141558367475,74.06399536132812,1953700
2020-08-18,74.24462091884962,74.34397558940438,73.76591581036737,74.12720489501953,1114300
2020-08-19,74.27173173729273,74.31688857112795,73.6575422907951,73.75689697265625,795100
2020-08-20,73.1788276791798,73.88334455075844,73.08850712364921,73.77495574951172,1014900
2020-08-21,73.45882916075928,73.87430922223248,73.42269956093335,73.84721374511719,747900
2020-08-24,74.63302870508754,74.66013107995916,74.28980775791482,74.6149673461914,1014900
2020-08-25,74.86785796606316,74.90398757016817,74.46141197916204,74.87689208984375,902900
2020-08-26,75.00334539995272,75.51818022073094,74.89495658309816,75.4639892578125,1137600
2020-08-27,75.67173183897685,75.67173183897685,74.93109209298875,75.2923812866211,1193800
2020-08-28,75.61752554442756,75.86139173836325,75.4097820606168,75.84333038330078,670600
2020-08-31,75.66269038279498,75.73494959272355,75.29237399119172,75.4097900390625,703500
2020-09-01,75.58140204714397,75.9878480335331,75.39172679409454,75.97882080078125,788300
2020-09-02,76.4213882203968,76.94525708672262,76.00590815466082,76.83686828613281,975100
2020-09-03,76.41236669183598,76.45753042227976,74.09109290199204,74.5336685180664,1936100
2020-09-04,74.75947810415548,75.04850808058175,72.70013866074106,74.25367736816406,1680800
2020-09-08,72.96206612427048,73.3594848877002,72.46529956100085,72.53755187988281,5736900
2020-09-09,73.50397583525962,74.2897790181012,73.35043022547933,73.86526489257812,1165400
2020-09-10,74.23559537661343,74.41623647754112,72.67302297862547,72.82656860351562,1690800
2020-09-11,73.37752735674164,73.57623668730723,72.55560145151166,73.11559295654297,1383700
2020-09-14,73.82014023828812,74.26271590859561,73.7388468917312,74.03691101074219,964300
2020-09-15,74.70528272099351,74.81367153987804,74.28980258512951,74.47044372558594,1527100
2020-09-16,74.79560388637734,75.10270209681822,74.29883730066047,74.343994140625,850200
2020-09-17,73.41366834533363,74.17237618968888,73.32334778770051,73.94657135009766,1495100
2020-09-18,74.0639921447793,74.10012174835737,72.83561318719426,73.29625701904297,1102200
2020-09-21,72.05540431984288,72.22787475585938,71.14767684676414,72.22787475585938,1526500
2020-09-22,72.32771727668886,72.60911054587257,71.72861388698261,72.56372833251953,782500
2020-09-23,72.67264867436218,72.71803781155747,71.10228425330932,71.16582489013672,1298000
2020-09-24,70.80274611507818,71.81940342423765,70.47596365589877,71.2021484375,2157300
2020-09-25,70.84812879659681,72.04632872912416,70.64842765360714,71.9827880859375,1632200
2020-09-28,72.97220718712657,73.19913904351779,72.7725060454366,73.11744689941406,853200
2020-09-29,73.04483949009817,73.21730994647584,72.67266785800147,72.85421752929688,653800
2020-09-30,72.89958313138177,73.76192829123679,72.87235241824924,73.19913482666016,2826100
2020-10-01,73.76193096800819,73.89809146402229,73.37160790632005,73.7891616821289,1120000
2020-10-02,72.69080391417252,73.65299263694249,72.65449399108935,73.31713104248047,1544400
2020-10-05,73.80730862482972,74.56072398755533,73.80730862482972,74.5244140625,671000
2020-10-06,74.65148592704072,75.0145782064132,73.64390814135146,73.76191711425781,1662700
2020-10-07,74.45178900780697,74.95104178565482,74.42455829727155,74.8058090209961,1301300
2020-10-08,75.2233633687585,75.43213676820969,75.05089296671736,75.42305755615234,771200
2020-10-09,75.83153527067502,76.0766185809129,75.67722330032488,75.99492645263672,1570100
2020-10-12,76.41247865303698,77.056964156592,76.33985881239184,76.83003234863281,1123400
2020-10-13,76.60309331392625,76.62125173507906,76.13107824508114,76.33077239990234,1542600
2020-10-14,76.49417228472407,76.68480110152049,75.88599668952581,75.99492645263672,1262200
2020-10-15,74.86935590658727,75.71354263073326,74.7331954171295,75.63184356689453,1095000
2020-10-16,75.94048048534485,76.2127945604157,75.66815948486328,75.66815948486328,808500
2020-10-19,76.02215291775602,76.16739259379517,74.81487408096396,74.95103454589844,1024900
2020-10-20,75.33226915674582,75.90414165492328,75.20518791835264,75.30503845214844,724200
2020-10-21,75.29598362434352,75.74077502815925,75.08721020455357,75.11444091796875,1557000
2020-10-22,75.15983150508897,75.50476542400969,74.67873016564864,75.40491485595703,813700
2020-10-23,75.74983215332031,75.74983215332031,75.20519721780187,75.74983215332031,629900
2020-10-26,74.87843305866797,75.05090348488034,73.69839156599195,74.40641784667969,1766400
2020-10-27,74.44270474223907,74.4971661545462,74.03422337371016,74.08869171142578,1093100
2020-10-28,72.70895896251511,72.8360402368052,71.7195394804837,71.79215240478516,3092300
2020-10-29,71.85570101885354,72.89958194073935,71.537990903069,72.41848754882812,2031400
2020-10-30,72.01000875350435,72.19155144430455,71.056892313279,71.70137786865234,2499300
2020-11-02,72.49110707858178,72.79065876764115,71.95554433825652,72.59095764160156,1582000
2020-11-03,73.46236377776222,74.27024044497827,73.33528252171087,73.96161651611328,1643400
2020-11-04,74.72411452620524,76.07662632684749,74.46995197847758,75.35044860839844,2079700
2020-11-05,76.72111198747946,77.18405487155022,76.56680000125922,76.94804382324219,1110600
2020-11-06,77.01155784296952,77.27479951252006,76.62124186875499,77.0387954711914,1452200
2020-11-09,80.52449058793938,80.54264901276323,78.19163162758908,78.27333068847656,2239200
2020-11-10,78.3187100945539,78.58195184179174,77.67422454458938,78.32778930664062,1293400
2020-11-11,78.72719798647745,78.96320211679935,78.50933843099688,78.82704162597656,2748100
2020-11-12,78.5547061518947,78.7634795122123,77.70144043909664,77.99191284179688,1582600
2020-11-13,78.5456511973066,79.18106453565426,78.4639590551049,79.09028625488281,813400
2020-11-16,79.90724032449327,80.10694145658668,79.56230641250215,80.09786224365234,916500
2020-11-17,79.71661088896583,80.1795537492221,79.42613843114832,79.93446350097656,1684700
2020-11-18,80.05247515537759,80.19770792643205,79.24459838867188,79.24459838867188,1112100
2020-11-19,79.17196244447408,79.76198647193901,78.90872074220792,79.73474884033203,1064700
2020-11-20,79.75291332299498,79.89814607556143,79.5713706509347,79.60767364501953,1330900
2020-11-23,80.07969251623109,80.29754509919735,79.57136751417357,79.99799346923828,684900
2020-11-24,80.64247531230573,81.25065775578787,80.44278116004018,81.21434783935547,1575200
2020-11-25,80.95111979519874,81.17805161712681,80.65156812815538,81.0872802734375,1076700
2020-11-27,81.32330310950631,81.5683934118587,81.3142308208349,81.4866943359375,530300
2020-11-30,81.24159389187732,81.25974539081811,80.3429457979981,80.56987762451172,1392400
2020-12-01,81.60469807854261,81.97686272698773,81.44130686265162,81.7680892944336,1401800
2020-12-02,81.37775583436309,81.89516013109004,81.26882606253272,81.82254028320312,1337900
2020-12-03,82.0857846789711,82.3944086543061,81.91331426604266,82.09486389160156,1197200
2020-12-04,82.4307112546846,82.88457489013672,82.39440133279929,82.88457489013672,938800
2020-12-07,82.62133026123047,82.78472144129577,82.39439845144028,82.62133026123047,896500
2020-12-08,82.37624983456138,82.98442544396895,82.33993991267606,82.88457489013672,1458700
2020-12-09,83.22043787386555,83.22043787386555,82.03131734510274,82.37625122070312,795800
2020-12-10,82.02222723900678,82.74841174166228,81.89514598985338,82.61225128173828,765000
2020-12-11,82.1765413345933,82.44886226153136,81.85883820343813,82.39439392089844,1008600
2020-12-14,82.92996549520842,83.10243589587128,82.19470860886192,82.21286010742188,1032200
2020-12-15,82.77565647331926,83.28398155605888,82.60318606649982,83.27490234375,1446700
2020-12-16,83.38380753731806,83.63797000377185,83.1477965647219,83.47457885742188,1264800
2020-12-17,83.90124020650448,84.04647298296855,83.81954114284768,84.01016998291016,1117100
2020-12-18,84.03739782241092,84.08278003363739,83.3566023253248,83.7469253540039,1537200
2020-12-21,82.27851380495449,83.31042417037872,81.94976446322046,83.14604949951172,3064100
2020-12-22,83.08213338608326,83.19171186447414,82.75338401671955,83.0638656616211,940900
2020-12-23,83.4839390680885,83.72137073439114,83.4200159618258,83.4474105834961,898800
2020-12-24,83.52045545323885,83.66656937044127,83.33782002383089,83.63916778564453,769300
2020-12-28,84.16881201387494,84.31492591671922,83.97704274171258,84.022705078125,1175300
2020-12-29,84.65279510463921,84.70759129720892,84.02269811038468,84.18707275390625,849800
2020-12-30,84.54321690885496,84.8354377240982,84.46102610329922,84.47929382324219,1304000
2020-12-31,84.5432357788086,84.63455349762403,84.2053525553866,84.5432357788086,3220900
2021-01-04,85.32856955603597,85.39249264756688,83.35607364520627,84.05923461914062,6892800
2021-01-05,84.14141807717903,85.1459267825012,84.14141807717903,84.98155212402344,1267400
2021-01-06,84.80804810021674,86.26915226238421,84.71672342931723,85.58425903320312,1569100
2021-01-07,85.92213740656194,86.59790375941542,85.8947427914371,86.45178985595703,1538600
